OBJECTID,Entity,Layer,Color,Linetype,Elevation,LineWt,RefName,Shape_Leng,Shape_Area,Name,Gazette_Ty,Gazette_No,LGA,LCDA,Size,Date_1,Hyperlink,Shape_Le_1,Gazette__1
6938,LWPolyline,GARMIN,3,Continuous,0.0,25,,1153.43868363,81551.6500888,IKOYI ADAMS  ESTATE,,,Ibeju-Lekki,Lekki,0.0,0000/00/00,,0.0,
6939,LWPolyline,0,3,Continuous,0.0,80,,2221.26868118,252474.590167,ORIGANRIGAN Village,Excision,PLAN NO:-LS/D/BK144,Ibeju-Lekki,Lekki,0.0,0000/00/00,,0.0,
6940,LWPolyline,0,3,Continuous,0.0,80,,3976.66002349,361097.850567,"ORIGANRIGAN NLA COMMUNITY
Dev  NIG. LTD.",Excision,PLAN NO:-LS/D/LA3269,Ibeju-Lekki,Lekki,0.0,0000/00/00,,0.0,
6941,LWPolyline,0,3,Continuous,0.0,70,,1911.88096319,222872.724198,ORIGANRIGAN Village,Excision,"GAZ  NO.29,VOL.27,",Ibeju-Lekki,Lekki,0.0,1994/09/01,,0.0,
6942,LWPolyline,0,-2,Continuous,0.0,70,,760.252356321,33916.9742295,,,,Ibeju-Lekki,Lekki,0.0,0000/00/00,,0.0,
6943,LWPolyline,0,1,Continuous,0.0,90,,309.499031349,5893.26817052,"R C.M PRIMARY SCHOOL 
OLOMOWEWE",Allocation,PLAN NO:-LS/D/BK261,Ibeju-Lekki,Lekki,0.0,0000/00/00,,0.0,
6944,LWPolyline,0,1,Continuous,0.0,25,,2482.62958676,87562.8445962,"LEKURU Village
(Parcel B)",Excision,GAZ NO 41 VOL42,Ibeju-Lekki,Lekki,0.0,2009/07/30,,0.0,
6945,LWPolyline,0,3,Continuous,0.0,60,,2086.66167049,272245.914219,,,,Ibeju-Lekki,Lekki,0.0,0000/00/00,,0.0,
6946,LWPolyline,UNILAG ACQUSITION,2,Continuous,0.0,25,,1889.72742498,219706.229526,OLOMOWEWE Village,Excision,"Gaz No. 29, Vol. 27",Ibeju-Lekki,Lekki,0.0,1994/09/01,,0.0,
6947,LWPolyline,0,-2,Continuous,0.0,25,,831.5149535,33845.1072907,OLOMOWEWE,,,Ibeju-Lekki,Lekki,0.0,0000/00/00,,0.0,
6948,LWPolyline,0,3,BYBLOCK,0.0,100,,1300.69578054,76616.2141279,"LEKURU Village 
(Parcel A)",Excision,GAZ NO 41 VOL42,Ibeju-Lekki,Lekki,0.0,2009/07/30,,0.0,
6949,LWPolyline,0,3,Continuous,0.0,53,,256.788279672,4014.63913369,,,,Ibeju-Lekki,Lekki,0.0,0000/00/00,,0.0,
6950,LWPolyline,0,-2,Continuous,0.0,25,,351.248550742,5717.1665137,,,,Ibeju-Lekki,Lekki,0.0,0000/00/00,,0.0,
6952,LWPolyline,0,3,Continuous,0.0,100,,4646.2579271,615995.25244,OKUNRAYE Village,Excision,GAZ NO 41 VOL42,Ibeju-Lekki,Lekki,0.0,2009/07/30,,0.0,
6955,LWPolyline,0,1,Continuous,0.0,25,,1435.0164793,99546.5967721,,,,Ibeju-Lekki,Lekki,0.0,0000/00/00,,0.0,
6956,LWPolyline,0,1,Continuous,0.0,90,,350.498133072,6817.73213477,"R C.M PRIMARY SCHOOL 
OKUNRAYE",Allocation,PLAN NO:-LS/D/BK274,Ibeju-Lekki,Lekki,0.0,0000/00/00,,0.0,
6957,LWPolyline,0,3,Continuous,0.0,60,,2251.70197573,158603.502543,IMOSA Village,Excision,GAZ NO 41 VOL42,Ibeju-Lekki,Lekki,0.0,2009/07/30,,0.0,
6958,LWPolyline,0,-2,Continuous,0.0,25,,1414.69656582,129349.461236,,,,Ibeju-Lekki,Lekki,0.0,0000/00/00,,0.0,
6959,LWPolyline,0,2,Continuous,0.0,25,,497.776326572,15557.4911552,"ENGR  SHAKIRU. A. BALOGUN &
MRS NICOLETA
BALOGUN",,,Ibeju-Lekki,Lekki,0.0,0000/00/00,,0.0,
6960,LWPolyline,OAJOSE,1,BYBLOCK,0.0,70,,448.896491207,12593.3521907,,,,Ibeju-Lekki,Lekki,0.0,0000/00/00,,0.0,
6961,LWPolyline,0,3,Continuous,0.0,60,,1789.1045266,149835.72828,ELEKO-ALASIA Village,Excision,GAZ NO 41 VOL42,Ibeju-Lekki,Lekki,0.0,2009/07/30,,0.0,
6962,LWPolyline,0,1,Continuous,0.0,20,,5944.14948808,1159493.50596,ALASIA Village,Excision,PLAN NO:- LS/D/BK 103,Ibeju-Lekki,Lekki,0.0,0000/00/00,,0.0,
6963,LWPolyline,Layer4,1,Continuous,0.0,70,,17237.8294011,4738222.56396,"LEKKI  FREE  TRADE   
ZONE   COMPANY",Allocation,C of O:- 35/35 /2015H,Ibeju-Lekki,Lekki,0.0,2015/05/26,,0.0,
6964,LWPolyline,okun alani and others,202,BYBLOCK,0.0,90,,3347.18617891,500093.772915,TRAILAR PARK,,,Ibeju-Lekki,Lekki,0.0,0000/00/00,,0.0,
6965,LWPolyline,ObscuredArea,3,BYBLOCK,0.0,90,,2022.24893748,251222.338477,SWAMPY / THICK BUSH,,,Ibeju-Lekki,Lekki,0.0,0000/00/00,,0.0,
6966,LWPolyline,0,2,Continuous,0.0,90,,7869.87825274,1568237.17971,,,,Ibeju-Lekki,Lekki,0.0,0000/00/00,,0.0,
6967,LWPolyline,LA265A,6,BYBLOCK,0.0,80,,1975.09546577,242447.645659,PROGRESS MARITIME,Allocation,PLAN NO:- LS/D/BK371,Ibeju-Lekki,Lekki,0.0,0000/00/00,,0.0,
6968,LWPolyline,0,-2,Continuous,0.0,20,,1768.09324557,88650.244415,,,,Ibeju-Lekki,Lekki,0.0,0000/00/00,,0.0,
6969,LWPolyline,0,1,Continuous,0.0,90,,1008.2707258,59217.29455,"COMMUNITY JUNIOR 
HIGH, IDOTUN",Allocation,PLAN NO:-LS/D/BK270,Ibeju-Lekki,Lekki,0.0,0000/00/00,,0.0,
6971,LWPolyline,0,1,Continuous,0.0,90,,1449.90052815,98188.6224303,,,PLAN NO:-LS/D/LA 1302B,Ibeju-Lekki,Lekki,0.0,0000/00/00,,0.0,
